Wall time,Step,Value
1770735742.1665926,986,-139.68231201171875
1770735755.6101162,988,-149.49832153320312
1770735763.350714,989,-80.62512969970703
1770735767.3580203,991,-50.24106216430664
1770735776.69943,992,-70.85001373291016
1770735798.5521522,997,-61.28129196166992
1770735801.5595708,998,-73.11576080322266
1770735815.9251945,1000,-77.8655014038086
1770735858.0868342,1001,-85.78070831298828
1770735867.4774446,1003,-59.16107177734375
1770735871.709079,1004,-97.09693908691406
1770735875.9955943,1005,-79.0628662109375
1770735877.6219532,1006,-60.846710205078125
1770735882.2629538,1008,-40.4135856628418
1770735886.744975,1009,-115.29520416259766
1770735891.3743155,1010,-30.756284713745117
1770735895.9452665,1012,-85.91604614257812
1770735900.7387087,1013,-125.54889678955078
1770735906.803424,1014,-123.73687744140625
1770735910.6853867,1015,-143.29368591308594
1770735926.2081995,1018,-87.5784683227539
1770735932.4258087,1020,-103.74901580810547
1770735943.6170921,1023,-73.49597930908203
1770735954.1416876,1025,-76.52330017089844
1770735959.9208844,1026,-132.9515838623047
1770735968.9499507,1027,-151.1987762451172
1770735976.2646453,1028,-109.78921508789062
1770735982.4489796,1030,-105.90031433105469
1770735990.7829733,1032,-83.20978546142578
1770735991.894042,1033,-52.09308624267578
1770736001.075131,1034,-106.10057830810547
1770736007.1980038,1036,-48.18561553955078
1770736012.3445492,1037,-125.51425170898438
1770736014.4433715,1038,-60.2662467956543
1770736022.7866087,1039,-88.55311584472656
1770736025.4156418,1040,-71.10038757324219
1770736039.5581322,1043,-83.75276184082031
1770736042.9460912,1044,-94.28377532958984
1770736045.3062007,1045,-70.4971694946289
1770736063.242472,1050,-47.331539154052734
1770736064.6198084,1051,-50.67644119262695
1770736066.6456826,1052,-80.31488037109375
1770736068.137784,1053,-82.37590026855469
1770736073.3053515,1055,-112.37850952148438
1770736076.8379014,1056,-73.930908203125
1770736078.0368557,1057,-36.70462417602539
1770736081.599908,1058,-93.31168365478516
1770736082.458169,1059,-36.0686149597168
1770736098.0441368,1064,-65.27042388916016
1770736102.3560674,1065,-101.11292266845703
1770736104.2461736,1066,-55.682106018066406
1770736105.444668,1067,-48.09027099609375
